Lieu_ID,Lieu,Lieu_Proche_ID,Lieu_Proche,Distance
ChIJ36rMXwNv5kcRBLwqy251nz8,L'Arbre à Café - Martyrs,ChIJuwaA4Q1u5kcRmiOGmWQk4P4,Le Réveil Du 10eme,1.3167
ChIJsSsTzvdt5kcRJHozpXq7-Qo,Les Pionniers Du Cinéma,ChIJLZz8XQ1y5kcR3j8r8bhbF-g,Commune de Paris,1.317
ChIJ__9LDWxy5kcRsVz1Bq_NyG0,Entre-Sorts,ChIJm4TSBwBz5kcR-4OKPb5KmZw,Saargale,1.3172
ChIJm4TSBwBz5kcR-4OKPb5KmZw,Saargale,ChIJ__9LDWxy5kcRsVz1Bq_NyG0,Entre-Sorts,1.3172
ChIJcexdtLRx5kcRnuFv040J9ac,Compagnie du Samovar,ChIJdVcGT91x5kcRZcLwXVwNZ04,L'ARBRE ET LA PIROGUE,1.3174
ChIJXyUgvjlv5kcRmhx7R3xmFX8,ROOF Paris,ChIJ4akYtyVu5kcRrlOtZYi2V_I,L'Officine du Louvre,1.3175
ChIJ4akYtyVu5kcRrlOtZYi2V_I,L'Officine du Louvre,ChIJXyUgvjlv5kcRmhx7R3xmFX8,ROOF Paris,1.3175
ChIJKZeh8SFu5kcRAtH-OJUKadk,Le N'Importe Quoi,ChIJa34JsuJt5kcRCqQBMzzuLfQ,Hôtel 20 Prieuré,1.3201
ChIJGQ8UCNlx5kcRIVo-QK6PldY,Le Mabillon - Paris,ChIJXyUgvjlv5kcRmhx7R3xmFX8,ROOF Paris,1.3211
ChIJN8SgpMZv5kcRtZVnJDMqy5U,Hôtel Le Marianne - Champs Elysées - Paris 8e,ChIJu0imGvhv5kcRGfgx82rbaL0,Le Pain Quotidien,1.323
ChIJ-yt9kB5u5kcR44-zfZD-i7A,L'Imprévu Café,ChIJO_18ahht5kcRLiacN8GS6Qw,Café Cosmos,1.3235
ChIJVeCMqrdv5kcRP_HfSm9V2_s,Wiflix,ChIJkfydQTBv5kcR7WK_6BBvgsM,La Fabrique de Kairos - Paris 10,1.3236
ChIJi-p2MHJu5kcRSArzmm7Kq5U,Bibliothéque pour Tous Carrefour X,ChIJ-e6_QzBu5kcR53O4LynvUN4,Hôtel de Mondragon,1.3245
ChIJ-e6_QzBu5kcR53O4LynvUN4,Hôtel de Mondragon,ChIJi-p2MHJu5kcRSArzmm7Kq5U,Bibliothéque pour Tous Carrefour X,1.3245
ChIJFZAIBJVx5kcRVzImVeaKQQU,La Maison du Boulevard,ChIJT7IB9-9x5kcRBdOba3TC3u8,Baker Street Pub,1.3245
ChIJheuTgo9v5kcRwtbKw9laPZ0,Press Coffee,ChIJs5C8vv9x5kcRqhsB-9lrrCo,Le Cap Horn Bar Chilien,1.3247
ChIJs5C8vv9x5kcRqhsB-9lrrCo,Le Cap Horn Bar Chilien,ChIJheuTgo9v5kcRwtbKw9laPZ0,Press Coffee,1.3247
ChIJR3122B9u5kcR9RZ_OWxSy80,Domaine National du Palais-Royal,ChIJLW_xmDVu5kcRSKieA7n2tAY,FNAC Paris - Saint-Lazare,1.3254
ChIJqYfHFj5t5kcRTCZKNM2TGPA,ZoudjDoroProduction,ChIJiSoLIbpt5kcRoIVNgsuhE4Y,Compagnie TOUJOURS APRÈS MINUIT,1.3262
ChIJfc3005Zv5kcRt6QP-gCLwDc,Monument Corps Expeditionnaire Français d’Italie,ChIJ8em_Mo1v5kcRTyobnAmKVtk,VIP Bar,1.3266
ChIJwbLPBEZu5kcRL97nty1c65A,Lux Bar,ChIJVeCMqrdv5kcRP_HfSm9V2_s,Wiflix,1.3271
ChIJv7u3ikdu5kcRDZDgJae7EYc,Parenthese Cinema,ChIJVVVp9Wdu5kcRnZDbrT2zzbA,Théâtre Variable n°2,1.3272
ChIJ72W0bOZx5kcR5lDy3duVFSY,Le Village,ChIJgcugXNlx5kcRuwK02kg2Uak,Les Caves Alliées,1.3274
ChIJgcugXNlx5kcRuwK02kg2Uak,Les Caves Alliées,ChIJ72W0bOZx5kcR5lDy3duVFSY,Le Village,1.3274
ChIJw4kGlN1x5kcRgEnqjdQcnqM,La Filmothèque du Quartier Latin,ChIJyXgSNGtx5kcRA1_dub1akkI,Café d’Auteur - Specialty coffee,1.328
ChIJ1xqo10tu5kcRipR9QZIcXH4,Neoness Paris 9 Saint-Lazare,ChIJ00AAxTNu5kcRGE7r61i69x0,Café de l'Olympia,1.3291
ChIJ00AAxTNu5kcRGE7r61i69x0,Café de l'Olympia,ChIJ1xqo10tu5kcRipR9QZIcXH4,Neoness Paris 9 Saint-Lazare,1.3291
ChIJBQRiht5v5kcRz11AA0qjXmU,Bibliotique,ChIJ-69svSpw5kcRuGM1QLqaMoI,Comité consultatif national d'éthique,1.3303
ChIJeZUNtIBt5kcRz7b6Yi2kDBc,Mollet Charlotte,ChIJBQxjugJy5kcR7isymk4RiKs,Arts et Spectacles Production,1.3306
ChIJncf6r2Zx5kcR5i9_UQ3pOHs,Presse Librairie Nguyen,ChIJlxOkIo9x5kcRXB3CNGkArAc,The Village Terrazza,1.3308
ChIJJbP-kRFy5kcRkVGDijsoOQ4,Actant-scène,ChIJ__9LDWxy5kcRsVz1Bq_NyG0,Entre-Sorts,1.3324
ChIJAQCw5Exu5kcRtfVnBuAa8fI,COURS DE THÉÂTRE,ChIJB1fUIvpv5kcRN_KclSIkZ1c,Brigade Du Rire,1.333
ChIJ3-ZJSidv5kcRxm1TGBj87Cc,The Kitchen,ChIJlxxVG4Fv5kcRbG69SnOmFJ8,Immersion Vendôme - Everyday Brunch | Lunch | Coffee,1.3335
